episode,total_reward
544,-17.6108944182
545,-27.8727558018
546,-25.6857555912
547,-21.0872433399
548,-21.302606229
549,-33.5598493313
550,-18.9041713954
551,-26.0565650304
552,-22.5509081177
553,-25.3187071029
554,-34.1742047977
555,-21.6505683014
556,-14.0905559624
557,-29.9650134808
558,-21.2345893044
559,-22.7864088478
560,-24.890742578
561,-25.8854366165
562,-32.4129438916
563,-19.5522980766
564,-21.0801167164
565,-40.5849771633
566,-36.8811310514
567,-33.6880177265
568,-21.6581958278
569,-36.7689703136
570,-27.4228907319
571,-34.2359589949
572,-23.7389522619
573,-36.2380753282
574,-20.3235339514
575,-18.5792739343
576,-31.1935889392
577,-13.6661425737
578,-21.2849107619
579,-29.3443454011
580,-35.7008705351
581,-16.3929038679
582,-23.6269689735
583,-25.5471720618
584,-49.8337195498
585,-20.1979565871
586,-32.0271221139
587,-20.4490990074
588,-29.84397374
589,-21.7154330387
590,-38.3715147164
591,-47.2551583477
592,-31.6286373183
593,-20.3011034719
594,-40.2763312024
595,-22.9000269777
596,-21.592045784
597,-20.8940859323
598,-36.5901082237
599,-21.0906705617
600,-44.919670254
601,-38.6556413529
602,-24.9269372929
603,-26.8369293446
604,-28.2516416297
605,-19.4852202112
606,-23.8969276074
607,-26.2296428328
608,-36.2814699331
609,-43.344547259
610,-23.5498625957
611,-43.692267369
612,-28.5728642294
613,-28.44061637
614,-26.8299290478
615,-19.0191795959
616,-23.3432010662
617,-21.7342301325
618,-39.9505663295
619,-24.9613978565
620,-25.9652824097
621,-39.8451669593
622,-23.4421735331
623,-26.6247417146
624,-29.8773921543
625,-43.2901412241
626,-30.1472657514
627,-27.1287735616
628,-18.9511643431
629,-25.8238375705
630,-19.4226469973
631,-11.5999562391
632,-30.4885145801
633,-30.3889855911
634,-30.8073646554
635,-28.4656425566
636,-31.6939031492
637,-26.6103736643
638,-29.2442122632
639,-22.1626323882
640,-24.355815943
641,-35.3407657693
642,-52.2290103806
643,-22.0824841726
644,-26.3756394768
645,-24.0329389025
646,-21.1923535031
647,-23.800081432
648,-25.4356840638
649,-24.6641672269
650,-20.7248350203
651,-25.1056147142
652,-21.4984527915
653,-31.5114687348
654,-26.8281556176
655,-33.3245483628
656,-31.6096994621
657,-25.2210397154
658,-18.8369389674
659,-32.8188728506
660,-21.9462004506
661,-12.4291039695
662,-24.5432395287
663,-25.0849440904
664,-20.5674065998
665,-33.5036581026
666,-35.1253392415
667,-35.5617301645
668,-41.4462579235
669,-24.2340998944
670,-28.1319422444
671,-24.3253571277
672,-19.8848604131
673,-12.3300615936
674,-25.9774282161
675,-22.2428725907
676,-33.5686446381
677,-20.7130163814
678,-35.7559507776
679,-34.5851775683
